case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_GRADUAL_012,SYNV2_00146,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00146,False,RC_COMPONENT_WEAR
RCA_GRADUAL_013,SYNV2_00149,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00149,False,RC_COMPONENT_WEAR
RCA_GRADUAL_014,SYNV2_00161,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00161,False,RC_COMPONENT_WEAR
RCA_GRADUAL_015,SYNV2_00165,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00165,False,RC_COMPONENT_WEAR
RCA_GRADUAL_016,SYNV2_00184,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00184,False,RC_COMPONENT_WEAR
RCA_GRADUAL_017,SYNV2_00185,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00185,False,RC_COMPONENT_WEAR
RCA_GRADUAL_018,SYNV2_00198,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00198,False,RC_COMPONENT_WEAR
RCA_GRADUAL_019,SYNV2_00211,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00211,False,RC_COMPONENT_WEAR
RCA_GRADUAL_020,SYNV2_00236,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00236,False,RC_COMPONENT_WEAR
RCA_GRADUAL_021,SYNV2_00238,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00238,False,RC_COMPONENT_WEAR
RCA_GRADUAL_022,SYNV2_00244,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00244,False,RC_COMPONENT_WEAR
RCA_GRADUAL_023,SYNV2_00292,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00292,False,RC_COMPONENT_WEAR
RCA_GRADUAL_024,SYNV2_00308,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00308,False,RC_COMPONENT_WEAR
RCA_GRADUAL_025,SYNV2_00332,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00332,False,RC_COMPONENT_WEAR
RCA_GRADUAL_026,SYNV2_00345,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00345,False,RC_COMPONENT_WEAR
RCA_GRADUAL_027,SYNV2_00370,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00370,False,RC_COMPONENT_WEAR
RCA_GRADUAL_028,SYNV2_00398,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00398,False,RC_COMPONENT_WEAR
RCA_GRADUAL_029,SYNV2_00402,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00402,False,RC_COMPONENT_WEAR
RCA_GRADUAL_030,SYNV2_00405,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00405,False,RC_COMPONENT_WEAR
RCA_GRADUAL_031,SYNV2_00416,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00416,False,RC_COMPONENT_WEAR
RCA_GRADUAL_032,SYNV2_00447,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00447,False,RC_COMPONENT_WEAR
RCA_GRADUAL_033,SYNV2_00448,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00448,False,RC_COMPONENT_WEAR
RCA_GRADUAL_034,SYNV2_00521,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00521,False,RC_COMPONENT_WEAR
RCA_GRADUAL_035,SYNV2_00522,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00522,False,RC_COMPONENT_WEAR
RCA_GRADUAL_036,SYNV2_00531,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00531,False,RC_COMPONENT_WEAR
RCA_GRADUAL_037,SYNV2_00548,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00548,False,RC_COMPONENT_WEAR
RCA_GRADUAL_038,SYNV2_00549,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00549,False,RC_COMPONENT_WEAR
RCA_GRADUAL_039,SYNV2_00561,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00561,False,RC_COMPONENT_WEAR
RCA_GRADUAL_040,SYNV2_00585,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00585,False,RC_COMPONENT_WEAR
RCA_GRADUAL_041,SYNV2_00610,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00610,False,RC_COMPONENT_WEAR
RCA_GRADUAL_042,SYNV2_00634,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00634,False,RC_COMPONENT_WEAR
RCA_GRADUAL_043,SYNV2_00643,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00643,False,RC_COMPONENT_WEAR
RCA_GRADUAL_044,SYNV2_00648,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00648,False,RC_COMPONENT_WEAR
RCA_GRADUAL_045,SYNV2_00669,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00669,False,RC_COMPONENT_WEAR
RCA_GRADUAL_046,SYNV2_00670,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00670,False,RC_COMPONENT_WEAR
RCA_GRADUAL_047,SYNV2_00684,RC_COMPONENT_WEAR,Synthetic gradual component wear after delayed preventive inspection.,"Inspect the pressure-control valve, compare the chamber trend before and after the delayed maintenance date, and schedule replacement if degradation persists.",Synthetic gradual degradation injected for controlled evaluation.,EVID_MAINT_DELAY_GRADUAL_001;EVID_DEGRADATION_SYNV2_00684,False,RC_COMPONENT_WEAR
