case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00605,SYNV2_00605,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00605,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00364,SYNV2_00364,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00364,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00374,SYNV2_00374,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00374,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00391,SYNV2_00391,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00391,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00413,SYNV2_00413,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00413,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00420,SYNV2_00420,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00420,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00425,SYNV2_00425,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00425,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00434,SYNV2_00434,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00434,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00435,SYNV2_00435,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00435,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00476,SYNV2_00476,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00476,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00496,SYNV2_00496,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00496,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00497,SYNV2_00497,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00497,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00501,SYNV2_00501,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00501,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00506,SYNV2_00506,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00506,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00511,SYNV2_00511,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00511,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00562,SYNV2_00562,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00562,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00576,SYNV2_00576,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00576,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00596,SYNV2_00596,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00596,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00066,SYNV2_00066,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00066,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00070,SYNV2_00070,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00070,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00089,SYNV2_00089,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00089,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00100,SYNV2_00100,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00100,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00110,SYNV2_00110,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00110,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00117,SYNV2_00117,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00117,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00120,SYNV2_00120,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00120,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00121,SYNV2_00121,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00121,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00126,SYNV2_00126,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00126,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00186,SYNV2_00186,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00186,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00202,SYNV2_00202,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00202,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00207,SYNV2_00207,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00207,False,RC_SENSOR_HARDWARE
