case_id,lot_id,root_cause_id,suspected_cause,recommended_action,outcome,evidence_ids,supports_abstention,top3_acceptable_causes
RCA_VARIANCE_031,SYNV2_00536,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00536,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_040,SYNV2_00678,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00678,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_042,SYNV2_00721,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00721,False,RC_PROCESS_VARIABILITY
RCA_VARIANCE_046,SYNV2_00795,RC_PROCESS_VARIABILITY,Synthetic variance instability with increasing within-context sensor dispersion.,"Review chamber stability, inspect control-chart dispersion, compare adjacent lots, and verify process-control settings.",Synthetic variance instability injected for controlled evaluation.,EVID_VARIANCE_EVENT_001;EVID_VARIANCE_SYNV2_00795,False,RC_PROCESS_VARIABILITY
RCA_SENSOR_STUCK_AT_SYNV2_00120,SYNV2_00120,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00120,False,RC_SENSOR_HARDWARE
RCA_SENSOR_STUCK_AT_SYNV2_00186,SYNV2_00186,RC_SENSOR_HARDWARE,Synthetic stuck_at sensor hardware fault.,Inspect the sensor signal path and replace or reset the stuck measurement channel.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_STUCK_AT_001;EVID_SENSOR_STUCK_AT_SYNV2_00186,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00342,SYNV2_00342,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00342,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00351,SYNV2_00351,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00351,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00355,SYNV2_00355,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00355,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00363,SYNV2_00363,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00363,False,RC_SENSOR_HARDWARE
RCA_SENSOR_DROPOUT_SYNV2_00413,SYNV2_00413,RC_SENSOR_HARDWARE,Synthetic dropout sensor hardware fault.,"Inspect intermittent data acquisition, communication, and sensor connector integrity.",Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_DROPOUT_002;EVID_SENSOR_DROPOUT_SYNV2_00413,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00434,SYNV2_00434,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00434,False,RC_SENSOR_HARDWARE
RCA_SENSOR_MISSING_BURST_SYNV2_00511,SYNV2_00511,RC_SENSOR_HARDWARE,Synthetic missing_burst sensor hardware fault.,Investigate the sustained missing-data interval and verify data logger and sensor availability.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_MISSING_BURST_003;EVID_SENSOR_MISSING_BURST_SYNV2_00511,False,RC_SENSOR_HARDWARE
RCA_SENSOR_CALIBRATION_BIAS_SYNV2_00699,SYNV2_00699,RC_SENSOR_HARDWARE,Synthetic calibration_bias sensor hardware fault.,Recalibrate the sensor and compare its offset against a reference measurement.,Synthetic sensor fault injected for controlled evaluation.,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004;EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00699,False,RC_SENSOR_HARDWARE
RCA_CONTEXTUAL_004,SYNV2_00747,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_004 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_004;EVID_CONTEXT_CONTROL_CTX_PAIR_004,False,
RCA_CONTEXTUAL_008,SYNV2_00819,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_008 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_008;EVID_CONTEXT_CONTROL_CTX_PAIR_008,False,
RCA_CONTEXTUAL_012,SYNV2_00899,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_012 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_012;EVID_CONTEXT_CONTROL_CTX_PAIR_012,False,
RCA_CONTEXTUAL_013,SYNV2_00900,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_013 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_013;EVID_CONTEXT_CONTROL_CTX_PAIR_013,False,
RCA_CONTEXTUAL_015,SYNV2_00926,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_015 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_015;EVID_CONTEXT_CONTROL_CTX_PAIR_015,False,
RCA_CONTEXTUAL_020,SYNV2_00954,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_020 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_020;EVID_CONTEXT_CONTROL_CTX_PAIR_020,False,
RCA_CONTEXTUAL_022,SYNV2_01002,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_022 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_022;EVID_CONTEXT_CONTROL_CTX_PAIR_022,False,
RCA_CONTEXTUAL_025,SYNV2_01065,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_025 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_025;EVID_CONTEXT_CONTROL_CTX_PAIR_025,False,
RCA_CONTEXTUAL_026,SYNV2_01070,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_026 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_026;EVID_CONTEXT_CONTROL_CTX_PAIR_026,False,
RCA_CONTEXTUAL_028,SYNV2_01118,RC_RECIPE_CONTEXT_MISMATCH,Synthetic recipe-context mismatch: the paired CTX_PAIR_028 sensor profile is normal under RCP_A but anomalous under RCP_B.,"Verify the active recipe, compare only with context-matched historical lots, and review recipe sensor limits before escalating as tool failure.",Synthetic contextual anomaly injected with a paired Recipe A normal control.,EVID_CONTEXT_EVENT_001;EVID_CONTEXT_ANOMALY_CTX_PAIR_028;EVID_CONTEXT_CONTROL_CTX_PAIR_028,False,
